INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7819027463,2966,3153889000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИТЕРАВТО""",,3326968000,31.12.2018,
7819301821,17,85784000,68.20,Аренда и управление собственным или арендованным недвижимым имуществом,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОПАРК""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",77211000,31.12.2018,"ООО ""ТЕХНОПАРК"""
5503248127,9,47376000,09.10.9,Предоставление прочих услуг в области добычи нефти и природного газа,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАФОР-СИБИРЬ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",47376000,31.12.2018,"ООО ""АКВАФОР-СИБИРЬ"""
7819023275,16,69539000,47.73,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКОМИЛ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",70982000,31.12.2018,"ООО ""СКОМИЛ"""
7805527843,3,1337000,80.10,Деятельность частных охранных служб,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""РЕПИТЕР""",САНКТ-ПЕТЕРБУРГ ГОРОД,2541000,31.12.2018,"ООО ""ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""РЕПИТЕР"""
7816431692,1,38713000,46.33,"Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРСЕНАЛ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",38631000,31.12.2018,"ООО ""АРСЕНАЛ"""
7819022916,1,455000,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛ-АВТОСЕРВИС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",320000,31.12.2018,"ООО ""УНИВЕРСАЛ-АВТОСЕРВИС"""
4720017100,3,751000,01.70,"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИСС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",882000,31.12.2018,"ООО ""ТИСС"""
7819310520,40,272434000,46.12,"Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГПН-СЗ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",292164000,31.12.2018,"ООО ""ГПН-СЗ"""
7816413291,18,3497577000,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСНОСЕЛЬСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",,3536606000,31.12.2018,
