INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7811321424,2,0,71.11.1,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭСНА""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",0,31.12.2018,"ООО ""ЭСНА"""
7801158377,2,15717000,52.29,"Деятельность вспомогательная прочая, связанная с перевозками",ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МАРИНА ТРАНСПОРТ ИНТЕР-КАРГО,"САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",12663000,31.12.2018,"ООО ""МАРИНА ТРАНСПОРТ ИНТЕР-КАРГО"""
7817300460,5,8655000,72.1,Научные исследования и разработки в области естественных и технических наук,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОДАН""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",8759000,31.12.2018,"ООО ""БИОДАН"""
7813385350,0,881000,43.31,Производство штукатурных работ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТВ ПЛЮС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",0,31.12.2018,"ООО ""СТВ ПЛЮС"""
7810614315,0,8660000,43.29,Производство прочих строительно-монтажных работ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВНЕШТРАНСАВИА""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",180000,31.12.2018,"АО ""ВНЕШТРАНСАВИА"""
7842484980,166,336356000,41.20,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",346236000,31.12.2018,"ООО ""ДОРСТРОЙ"""
7825418320,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГНАТ""",,,,
6234068051,4,480922000,46.4,Торговля оптовая непродовольственными потребительскими товарами,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАССИОПЕЯ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",482108000,31.12.2018,"ООО ""КАССИОПЕЯ"""
7820031545,1,3207000,49.41.1,Перевозка грузов специализированными автотранспортными средствами,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОВБОЙ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",3417000,31.12.2018,"ООО ""КОВБОЙ"""
7810213948,1,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРХИДЕЯ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",,,"ООО ""ОРХИДЕЯ"""
7810038647,16,105567000,46.90,Торговля оптовая неспециализированная,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИДЖИ - АРТ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",105867000,31.12.2018,"ООО ""ДИДЖИ - АРТ"""
7820032490,1,0,43.12.3,Производство земляных работ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МНР-1""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",0,31.12.2018,"ООО ""МНР-1"""
7820309504,2,2197000,61.1,Деятельность в области связи на базе проводных технологий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАРНЭТ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",2584000,31.12.2018,"ООО ""СТАРНЭТ"""
7820316445,6,13909000,61.1,Деятельность в области связи на базе проводных технологий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОСТЫЕ ТЕХНОЛОГИИ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",16111000,31.12.2018,"ООО ""ПРОСТЫЕ ТЕХНОЛОГИИ"""
7820038685,22,19026000,43.99.1,Работы гидроизоляционные,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ <<СТРОЙ ИНЖИНИРИНГ>>,"САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПАВЛОВСК",18092000,31.12.2018,ООО <<СТРОЙ ИНЖИНИРИНГ>>
