INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7819027431,0,0,47.41,"Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""СЕРВИСЛАЙН""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",0,31.12.2018,"ООО ""СЕРВИСЛАЙН"""
5024048000,,11909209000,,,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИОКАД""",,19662384000,31.12.2018,
7810292548,35,83290000,86.21,Общая врачебная практика,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Д-МЕД""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",62414000,31.12.2018,"ООО ""Д-МЕД"""
7805571112,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТЕРБУРГСТРОЙ+""",,,,
4708011543,1,0,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОМ  И КО""",САНКТ-ПЕТЕРБУРГ ГОРОД,0,31.12.2018,"ООО ""СОМ И КО"""
7806326280,2,4744000,85.42.1,Деятельность школ подготовки водителей автотранспортных средств,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОПИЛОТ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",4416000,31.12.2018,"ООО ""АВТОПИЛОТ"""
4720021851,1,0,62.0,"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГАСТРОЙПРОЕКТ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",0,31.12.2018,"ООО ""МЕГАСТРОЙПРОЕКТ"""
7807357298,1,0,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНССТРОЙИНВЕСТ""",,0,31.12.2018,
7839347278,1,2419000,68.10.11,Подготовка к продаже собственного жилого недвижимого имущества,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ПРОГРЕСС""",САНКТ-ПЕТЕРБУРГ ГОРОД,2130000,31.12.2018,"ООО  ""ПРОГРЕСС"""
7819030233,1,0,68.31.12,Предоставление посреднических услуг при купле-продаже нежилого недвижимого имущества за вознаграждение или на договорной основе,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙИНВЕСТ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",0,31.12.2018,"ООО ""СТРОЙИНВЕСТ"""
7819303385,1,0,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОСКО""",,0,31.12.2018,
7805130446,1,1012000,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ПЕТЕРГОФСКИЕ ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ""`",САНКТ-ПЕТЕРБУРГ ГОРОД,794000,31.12.2018,"ООО ""НПО ""ППТ"""
7819311273,9,80211000,68.31.1,Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",82362000,31.12.2018,"ООО ""ВЕКТОР"""
7813348911,70,221350000,72.19,Научные исследования и разработки в области естественных и технических наук прочие,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФАРМ-ХОЛДИНГ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",233108000,31.12.2018,"ЗАО ""ФАРМ-ХОЛДИНГ"""
7804447433,37,96235000,72.1,Научные исследования и разработки в области естественных и технических наук,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНМЕД""","САНКТ-ПЕТЕРБУРГ ГОРОД, ПОСЕЛОК СТРЕЛЬНА",10686000,31.12.2018,"ООО ""ИНМЕД"""
