INN,employees,expenses,okved_main_code,okved_main_name,org_name,place_info,revenue,revenue_date,short_name
7819013502,995,2964506000,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАКОНТ""",,3053672000,31.12.2018,
7818012023,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛ ЗАВОД ""ПЕТРОПРОФИЛЬ-ЛИБЕРТИ ГРУПП""",,,,
7826721489,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕНИНГРАДСКИЙ ЗАВОД СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ""",,,,
7813336754,1,69000,41.20,Строительство жилых и нежилых зданий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",0,31.12.2018,"ООО ""МИКС"""
7807044584,1,277000,68.20,Аренда и управление собственным или арендованным недвижимым имуществом,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОПША""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",275000,31.12.2018,"ООО ""РОПША"""
7819305216,2,2033000,46.69,Торговля оптовая прочими машинами и оборудованием,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНЫЙ КРАНОСТРОИТЕЛЬНЫЙ ЗАВОД""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",1834000,31.12.2018,"ООО ""СЗКЗ"""
7816592957,27,,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""НАСТАВНИК-ГРУПП""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",,,"ООО ""МКК ""НАСТАВНИК-ГРУПП"""
7819306643,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ ГРУЗОПОДЪЕМ""",,,,
7820039907,1,532000,62.01,Разработка компьютерного программного обеспечения,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ <<ЛЕНТЕРРА>>,"САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",538000,31.12.2018,ООО<<ЛЕНТЕРРА>>
7819312598,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНИ-КРАНЫ""",,,,
7819025321,2,4970000,37.00,Сбор и обработка сточных вод,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОСНАБ - КРАСНЫЕ ЗОРИ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",4274000,31.12.2018,"ООО ""ЭНЕРГОСНАБ - КРАСНЫЕ ЗОРИ"""
7819306241,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ТЕХНИЧЕСКИЙ ЦЕНТР ""ГРУЗОПОДЪЕМ""",,,,
7811564748,1,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕТРОСТРОЙ-КОНСТРУКЦИЯ""",,,,
7819306097,5,18211000,13.94,"Производство канатов, веревок, шпагата и сетей","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГНИ-ПРОГРЕСС""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",18743000,31.12.2018,"ООО ""АГНИ-ПРОГРЕСС"""
7807324221,1,4320000,23.6,"Производство изделий из бетона, цемента и гипса","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЛОК СТРОЙ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",4378000,31.12.2018,"ООО   ""БЛОК СТРОЙ"""
5261090181,1,2602000,62.01,Разработка компьютерного программного обеспечения,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИПАРИ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",2600000,31.12.2018,"ООО ""РИПАРИ"""
7819317370,,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПУЛЬС""",,,,
7811540296,1,7065000,43.3,Работы строительные отделочные,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ ТОЧКА РУ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",7918000,31.12.2018,"ООО ""СМАРТ ТОЧКА РУ"""
7838441944,1,5000,,,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРОМ ИНЖИНИРИНГ""",,0,31.12.2018,
7842414164,1,1140000,52.29,"Деятельность вспомогательная прочая, связанная с перевозками","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОРД МЕД ТРАНСПОРТ""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",2122000,31.12.2018,"ООО ""НМТ"""
7816274055,1,19271000,46.90,Торговля оптовая неспециализированная,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВ-ПАК""","САНКТ-ПЕТЕРБУРГ ГОРОД, ГОРОД ПЕТЕРГОФ",19359000,31.12.2018,"ООО ""АВ-ПАК"""
